FISH_ID,TL,Season,AGE,Radius,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15
20060046,0,Fall,2,136,68,120,0,0,0,0,0,0,0,0,0,0,0,0,0
20060049,0,Fall,4,157,68,113,140,150,0,0,0,0,0,0,0,0,0,0,0
20060050,0,Fall,4,160,79,110,125,145,0,0,0,0,0,0,0,0,0,0,0
20060051,0,Fall,1,115,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060052,0,Fall,4,160,51,83,118,148,0,0,0,0,0,0,0,0,0,0,0
20060053,0,Fall,2,138,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0
20060054,0,Fall,1,109,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060055,0,Fall,4,155,85,125,137,145,0,0,0,0,0,0,0,0,0,0,0
20060056,0,Fall,2,135,33,100,0,0,0,0,0,0,0,0,0,0,0,0,0
20060057,0,Fall,2,108,52,82,0,0,0,0,0,0,0,0,0,0,0,0,0
20060058,0,Fall,1,113,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060059,0,Fall,1,97,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060060,0,Fall,4,140,55,80,105,125,0,0,0,0,0,0,0,0,0,0,0
20060061,0,Fall,2,135,55,125,0,0,0,0,0,0,0,0,0,0,0,0,0
20060062,0,Fall,2,131,21,114,0,0,0,0,0,0,0,0,0,0,0,0,0
20060063,0,Fall,2,128,29,93,0,0,0,0,0,0,0,0,0,0,0,0,0
20060064,0,Fall,1,85,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060065,0,Fall,5,185,45,103,139,150,173,0,0,0,0,0,0,0,0,0,0
20060066,0,Fall,4,180,90,135,150,173,0,0,0,0,0,0,0,0,0,0,0
20060067,0,Fall,4,90,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060068,0,Fall,1,118,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060069,0,Fall,1,93,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060070,0,Fall,4,180,40,108,142,165,0,0,0,0,0,0,0,0,0,0,0
20060071,0,Fall,2,113,40,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20060072,0,Fall,5,190,68,95,142,160,180,0,0,0,0,0,0,0,0,0,0
20060073,0,Fall,2,135,47,113,0,0,0,0,0,0,0,0,0,0,0,0,0
20060074,0,Fall,4,170,40,90,130,155,0,0,0,0,0,0,0,0,0,0,0
20060075,0,Fall,2,125,55,98,0,0,0,0,0,0,0,0,0,0,0,0,0
20060076,0,Fall,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060077,0,Fall,3,160,40,120,140,0,0,0,0,0,0,0,0,0,0,0,0
20060078,0,Fall,6,170,52,115,130,135,150,160,0,0,0,0,0,0,0,0,0
20060079,0,Fall,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060080,0,Fall,5,167,50,88,125,135,160,0,0,0,0,0,0,0,0,0,0
20060081,0,Fall,5,160,75,110,125,140,155,0,0,0,0,0,0,0,0,0,0
20060082,0,Fall,5,182,58,115,155,167,170,0,0,0,0,0,0,0,0,0,0
20060083,0,Fall,6,194,35,70,100,130,183,187,0,0,0,0,0,0,0,0,0
20060084,0,Fall,1,113,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060085,0,Fall,2,135,43,95,0,0,0,0,0,0,0,0,0,0,0,0,0
20060086,0,Fall,5,185,70,100,128,155,175,0,0,0,0,0,0,0,0,0,0
20060087,0,Fall,5,183,35,84,128,145,167,0,0,0,0,0,0,0,0,0,0
20060088,0,Fall,5,187,30,100,140,178,182,0,0,0,0,0,0,0,0,0,0
20060089,0,Fall,1,106,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060091,0,Fall,5,177,45,105,135,157,175,0,0,0,0,0,0,0,0,0,0
20060092,0,Fall,5,184,40,110,128,157,174,0,0,0,0,0,0,0,0,0,0
20060093,0,Fall,1,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060094,0,Fall,2,97,38,61,0,0,0,0,0,0,0,0,0,0,0,0,0
20060095,0,Fall,4,161,75,105,134,153,0,0,0,0,0,0,0,0,0,0,0
20060096,0,Fall,2,145,60,135,0,0,0,0,0,0,0,0,0,0,0,0,0
20060097,0,Fall,4,159,60,98,135,150,0,0,0,0,0,0,0,0,0,0,0
20060224,0,Fall,2,124,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0
20060225,0,Fall,1,98,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060226,0,Fall,1,118,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060227,0,Fall,2,130,30,97,0,0,0,0,0,0,0,0,0,0,0,0,0
20060228,0,Fall,2,145,47,121,0,0,0,0,0,0,0,0,0,0,0,0,0
20060229,0,Fall,1,110,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060230,0,Fall,5,155,35,100,125,133,145,0,0,0,0,0,0,0,0,0,0
20060231,0,Fall,2,140,25,95,0,0,0,0,0,0,0,0,0,0,0,0,0
20060232,0,Fall,2,135,35,115,0,0,0,0,0,0,0,0,0,0,0,0,0
20071305,573,Fall,3,173,70,138,170,0,0,0,0,0,0,0,0,0,0,0,0
20071306,564,Fall,3,164,65,122,156,0,0,0,0,0,0,0,0,0,0,0,0
20071307,555,Fall,3,160,62,120,157,0,0,0,0,0,0,0,0,0,0,0,0
20071308,475,Fall,4,120,30,90,100,112,0,0,0,0,0,0,0,0,0,0,0
20071309,400,Fall,3,125,30,108,125,0,0,0,0,0,0,0,0,0,0,0,0
20071310,391,Fall,3,104,52,87,96,0,0,0,0,0,0,0,0,0,0,0,0
20071311,390,Fall,2,110,35,78,0,0,0,0,0,0,0,0,0,0,0,0,0
20071312,541,Fall,3,125,30,108,125,0,0,0,0,0,0,0,0,0,0,0,0
20071313,562,Fall,6,160,53,113,128,145,150,153,0,0,0,0,0,0,0,0,0
20071314,400,Fall,3,115,55,85,100,0,0,0,0,0,0,0,0,0,0,0,0
20071315,395,Fall,3,120,57,89,99,0,0,0,0,0,0,0,0,0,0,0,0
20071316,494,Fall,4,145,55,90,140,135,0,0,0,0,0,0,0,0,0,0,0
20071317,574,Fall,4,170,80,133,155,165,0,0,0,0,0,0,0,0,0,0,0
20071318,536,Fall,5,160,50,115,128,140,155,0,0,0,0,0,0,0,0,0,0
20071319,450,Fall,3,130,60,110,123,0,0,0,0,0,0,0,0,0,0,0,0
20071320,421,Fall,2,125,60,110,0,0,0,0,0,0,0,0,0,0,0,0,0
20071321,360,Fall,1,110,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071322,355,Fall,2,108,35,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20071323,379,Fall,2,100,55,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20071324,408,Fall,2,99,44,88,0,0,0,0,0,0,0,0,0,0,0,0,0
20071325,382,Fall,2,110,66,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20071326,408,Fall,3130,60,80,108,0,0,0,0,0,0,0,0,0,0,0,0,0
20071327,435,Fall,3,135,40,95,118,0,0,0,0,0,0,0,0,0,0,0,0
20071328,483,Fall,3,136,25,92,130,0,0,0,0,0,0,0,0,0,0,0,0
20071329,385,Fall,2,104,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0
20071331,360,Fall,1,103,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071332,400,Fall,3,116,50,80,108,0,0,0,0,0,0,0,0,0,0,0,0
20071334,445,Fall,4,165,70,95,127,162,0,0,0,0,0,0,0,0,0,0,0
20071335,338,Fall,2,130,50,120,0,0,0,0,0,0,0,0,0,0,0,0,0
20071336,395,Fall,2,104,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0
20071337,378,Fall,2,121,52,105,0,0,0,0,0,0,0,0,0,0,0,0,0
20071338,368,Fall,4,155,50,80,135,150,0,0,0,0,0,0,0,0,0,0,0
20071339,363,Fall,3,125,35,105,120,0,0,0,0,0,0,0,0,0,0,0,0
20071340,4,Fall,4,115,30,55,90,105,0,0,0,0,0,0,0,0,0,0,0
20071341,468,Fall,3,115,55,90,113,0,0,0,0,0,0,0,0,0,0,0,0
20071342,386,Fall,2,111,60,96,0,0,0,0,0,0,0,0,0,0,0,0,0
20071343,382,Fall,2,113,50,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20071344,484,Fall,4,105,30,55,70,102,0,0,0,0,0,0,0,0,0,0,0
20071345,542,Fall,2,110,40,88,0,0,0,0,0,0,0,0,0,0,0,0,0
20071346,588,Fall,3,188,80,145,167,0,0,0,0,0,0,0,0,0,0,0,0
20071347,520,Fall,3,163,45,120,160,0,0,0,0,0,0,0,0,0,0,0,0
20071348,520,Fall,3,170,70,142,165,0,0,0,0,0,0,0,0,0,0,0,0
20071349,423,Fall,3,135,75,110,130,0,0,0,0,0,0,0,0,0,0,0,0
20071350,373,Fall,2,102,60,95,0,0,0,0,0,0,0,0,0,0,0,0,0
20071351,359,Fall,1,115,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071352,350,Fall,1,107,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071353,250,Fall,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071355,400,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071356,375,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071357,300,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071358,245,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071359,220,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071361,160,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071362,173,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071363,153,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071379,0,Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060048,0,Fall,4,180,85,12,13,165,0,0,0,0,0,0,0,0,0,0,0
20060047,0,Fall,2,165,70,135,0,0,0,0,0,0,0,0,0,0,0,0,0
20060233,0,Fall,3,135,30,50,100,0,0,0,0,0,0,0,0,0,0,0,0
20060234,0,Fall,4,184,42,95,123,173,0,0,0,0,0,0,0,0,0,0,0
20060236,0,Fall,2,147,50,115,0,0,0,0,0,0,0,0,0,0,0,0,0
20060237,0,Fall,1,122,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060239,0,Fall,3,170,70,12,150,0,0,0,0,0,0,0,0,0,0,0,0
20060240,0,Fall,1,102,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060241,0,Fall,1,89,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060242,0,Fall,1,93,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060243,0,Fall,2,150,30,111,0,0,0,0,0,0,0,0,0,0,0,0,0
20060244,0,Fall,1,130,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060246,0,Fall,1,103,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060247,0,Fall,2,125,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0
20060248,0,Fall,1,115,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060249,0,Fall,2,115,25,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20060251,0,Fall,2,115,50,123,0,0,0,0,0,0,0,0,0,0,0,0,0
20060252,0,Fall,2,115,25,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20060253,0,Fall,2,140,30,108,0,0,0,0,0,0,0,0,0,0,0,0,0
20060256,0,Fall,1,99,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060258,0,Fall,2,125,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0
20060259,0,Fall,3,157,70,123,145,0,0,0,0,0,0,0,0,0,0,0,0
20060260,0,Fall,2,138,50,120,0,0,0,0,0,0,0,0,0,0,0,0,0
20060261,0,Fall,2,130,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0
20060262,0,Fall,2,120,32,110,0,0,0,0,0,0,0,0,0,0,0,0,0
20060263,0,Fall,5,170,40,77,119,155,165,0,0,0,0,0,0,0,0,0,0
20060264,0,Fall,2,140,45,116,0,0,0,0,0,0,0,0,0,0,0,0,0
20060265,0,Fall,1,120,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060266,0,Fall,1,105,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
